review_text,review_star
Best picture  good products,5.0 out of 5 stars
Don't have earphone,3.0 out of 5 stars
Like super products,5.0 out of 5 stars
Nice mobile,5.0 out of 5 stars
Best mobile,5.0 out of 5 stars
great phone,5.0 out of 5 stars
Amazing phone!,5.0 out of 5 stars
lack of fingerprint sensor,4.0 out of 5 stars
Good phone,5.0 out of 5 stars
Nice Mobil,4.0 out of 5 stars
Good phone,5.0 out of 5 stars
Excellient product,5.0 out of 5 stars
Ok,3.0 out of 5 stars
Nice phone... I love it..,5.0 out of 5 stars
Cheez h bhai shab,5.0 out of 5 stars
Very good product,5.0 out of 5 stars
Excellent,5.0 out of 5 stars
Nice product,4.0 out of 5 stars
Ok,5.0 out of 5 stars
It's very good,5.0 out of 5 stars
Disliked,3.0 out of 5 stars
Excellent,5.0 out of 5 stars
All are perfect,5.0 out of 5 stars
Battery life is good...,4.0 out of 5 stars
Battery backup too good,4.0 out of 5 stars
Display blink karta tha,5.0 out of 5 stars
Sound quality not good.,4.0 out of 5 stars
S gj. Gh. Hj ik,4.0 out of 5 stars
Nice mobile phone..,5.0 out of 5 stars
Phone is not slim as i want..,3.0 out of 5 stars
Space very less,1.0 out of 5 stars
Nice product & awesome delivery,5.0 out of 5 stars
battery backup,5.0 out of 5 stars
Value for mone,4.0 out of 5 stars
Overall 4 out of 5.,4.0 out of 5 stars
Thik h,5.0 out of 5 stars
Battery is good,3.0 out of 5 stars
Very good phone,4.0 out of 5 stars
Over all good product,3.0 out of 5 stars
Worst,1.0 out of 5 stars
It's too good,5.0 out of 5 stars
Small,5.0 out of 5 stars
Sirra,5.0 out of 5 stars
Super,4.0 out of 5 stars
Good sound and battery life,5.0 out of 5 stars
Superb phone,5.0 out of 5 stars
Battery life is good,4.0 out of 5 stars
No 1,5.0 out of 5 stars
Nice product,4.0 out of 5 stars
Nice product,4.0 out of 5 stars
Nice product,4.0 out of 5 stars
Great option,5.0 out of 5 stars
Average mobile,4.0 out of 5 stars
Good,5.0 out of 5 stars
Cool,5.0 out of 5 stars
Good,5.0 out of 5 stars
Nicc,3.0 out of 5 stars
Good,4.0 out of 5 stars
