review_title,review_text
Good,Battery life is good...
In this price nice phone,Battery backup too good
Display blink karta tha,Display blink karta tha
Good,Sound quality not good.
For those who need battery,S gj. Gh. Hj ik
Best mobile phone.,Nice mobile phone..
Not bad..,Phone is not slim as i want..
Not at all good 👎,Space very less
Nice product,Nice product & awesome delivery
battery,battery backup
Good one,Value for mone
Pics quality good,Overall 4 out of 5.
Acha h,Thik h
Camera quality not match with expectations,Battery is good
"Nice product, good Paking",Very good phone
Good,Over all good product
Worst,Worst
Too good,It's too good
Small,Small
Gjab,Super
Hii,Good sound and battery life
Classic..,Superb phone
Finger print is needed,Battery life is good
No 1,No 1
Nice,Nice product
Nice product,Nice product
My,Nice product
Good product worth the money,Great option
Average mobile,Average mobile
Its nice,Good
Good,Good
Nicc,Nicc
Good,Good
Nice,Good
Good👍,Good
Worth it,Nice
M?,Good
ताबड़ तोड़ ह,This is too gud
Great,Good set all in one
Oppo,Excellent phone ...
Amazing phone,I like this phone..
Awesome,Best phone in range
Good mobile,Nice mobile
Hii,Good product
Nice,Good
Perfect,PERFECT
Nice bettry life & very beutyfull display...,Nice look..
Not as per expectation,"Camera,charging time"
Nice phone,Nice
On time delivery,Superb
Owsmm product,Nice battery
Bettery ki life long Nahi h,Bettery hot hota h
No headphone in the box,Headset nahin diya
Good quality,Product is to good
Good,Nice phone
Nice phone,Nice phone
Ok,Ok
Worthable at this price range,Good battery backup
Super,Ok
A3s,Takes time to charge
Good,Sound quality is good
Missing partss,Not got earphones
Very good mobile phone,I like it
Very goog,Very good
Excellent,Excellent
Gud phone,NYC phone
Good,Avearage
Don't. Like,Apps not support
Super budget phone,Nice one
All good,All good
Average,Average phone money
Nice phone,Charging very late
HAPPY,VERY GOOD
Nice,Nice
Good,Quality is good
Nice one,Good product
I like oppo a3s,No finger print
Super,Very Nice Phone
Super,Clarity is good
Super,Like it
Excellent,Excellent
Nice product,Good phone overall
Earphone,Way my earphone
Good choice,Good.......
Ok he h bs,Thik thak h bs
Shandhaar mobile,Battery mast h
Heating,Heating mobile
Camera osm,Better
better,better
Better phone with good batterylife,Good battery life
Thanks,***** good phone
Like this product,Good one
